Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
AdventHealth Celebration,Celebration,0,0,0,$0
AdventHealth Dade City,Dade City,120,"1,864","6,890","$335,417"
AdventHealth Daytona Beach,Daytona Beach,0,0,0,$0
AdventHealth DeLand,DeLand,164,"8,436","34,262","$786,861"
AdventHealth East Orlando,Orlando,0,0,0,$0
AdventHealth Fish Memorial,Orange City,179,"9,710","42,707","$777,205"
AdventHealth Heart of Florida,Davenport,193,"9,429","39,217","$1,672,954"
AdventHealth Kissimmee,Kissimmee,0,0,0,$0
AdventHealth Lake Placid,Lake Placid,0,0,0,$0
AdventHealth Lake Wales,Lake Wales,131,"3,724","15,033","$529,786"
AdventHealth New Smyrna Beach,New Smyrna Beach,112,"5,605","24,673","$414,730"
AdventHealth North Pinellas,Tarpon Springs,168,"5,389","20,947",$0
AdventHealth Ocala,Ocala,413,"19,006","89,082","$1,855,126"
AdventHealth Orlando,Orlando,"2,826","129,339","661,422","$18,165,611"
AdventHealth Palm Coast,Palm Coast,99,"8,093","32,683","$814,892"
AdventHealth Pepin Heart Institute,Tampa,0,0,0,$0
AdventHealth Sebring,Sebring,197,"10,927","45,483","$1,201,463"
AdventHealth Tampa,Tampa,536,"21,845","116,953","$3,016,076"
AdventHealth Waterman,Tavares,269,"15,150","65,446","$1,328,728"
AdventHealth Wesley Chapel,Wesley Chapel,145,"7,822","23,723","$1,145,725"
AdventHealth Winter Park,Winter Park,0,0,0,$0
AdventHealth Zephyrhills,Zephyrhills,149,"8,942","34,001","$1,007,596"
Ascension Sacred Heart Hospital on the Emerald Coast,Miramar Beach,62,"5,380","16,055","$712,410"
Ascension Sacred Heart Hospital on the Gulf,Port Saint Joe,19,396,"1,049","$52,340"
Ascension Sacred Heart Hospital Pensacola,Pensacola,561,"24,138","117,781","$2,881,563"
Ascension St. Vincent's Clay County Hospital,Middleburg,106,"6,948","22,984","$714,759"
Ascension St. Vincent's Riverside Hospital,Jacksonville,479,"22,120","100,077","$2,694,039"
Ascension St. Vincent's Southside Hospital,Jacksonville,260,"10,336","36,846","$1,059,584"
Aventura Hospital and Medical Center,Aventura,407,"17,469","93,237","$2,835,786"
Baptist Heart Hospital,Jacksonville,0,0,0,$0
Baptist Hospital,Miami,728,"30,801","184,360","$4,986,909"
Baptist Hospital,Pensacola,326,"15,285","71,207","$1,734,095"
Baptist Medical Center Beaches,Jacksonville Beach,135,"7,141","28,911","$631,948"
Baptist Medical Center Jacksonville,Jacksonville,903,"47,191","234,200","$5,366,852"
Baptist Medical Center Nassau,Fernandina Beach,54,"4,122","12,556","$327,860"
Baptist Medical Center South,Jacksonville,0,0,0,$0
Bartow Regional Medical Center,Bartow,72,"3,005","11,481","$367,534"
Bascom Palmer Eye Institute,Miami,56,51,165,"$558,211"
Bay Medical Sacred Heart,Panama City,293,"11,247","59,970","$1,365,212"
Bay Pines VA Healthcare System,Bay Pines,0,0,0,$0
Bayfront Health Brooksville,Brooksville,244,"9,534","38,369","$1,596,322"
Bayfront Health Port Charlotte,Port Charlotte,254,"10,620","49,813","$1,668,703"
Bayfront Health Punta Gorda,Punta Gorda,176,"3,944","16,972","$593,404"
Bayfront Health Seven Rivers,Crystal River,128,"5,922","24,309","$784,268"
Bayfront Health Spring Hill,Spring Hill,88,"4,933","19,869","$90,265"
Bayfront Health St. Petersburg,Saint Petersburg,358,"15,135","71,251","$1,972,501"
Bethesda Hospital East,Boynton Beach,467,"19,615","96,152","$1,974,998"
Bethesda Hospital West,Boynton Beach,0,0,0,$0
Blake Medical Center,Bradenton,383,"13,892","68,516","$2,028,143"
Boca Raton Regional Hospital,Boca Raton,370,"19,708","90,734","$2,296,757"
Brandon Regional Hospital,Brandon,418,"24,027","95,205","$3,739,343"
Broward Health Coral Springs,Coral Springs,196,"10,900","46,694","$727,024"
Broward Health Imperial Point,Fort Lauderdale,174,"5,477","17,000","$512,528"
Broward Health Medical Center,Fort Lauderdale,632,"22,268","124,192","$2,073,846"
Broward Health North,Deerfield Beach,334,"12,749","60,958","$1,014,901"
Cape Coral Hospital,Cape Coral,280,"16,010","66,464","$1,295,158"
Capital Regional Medical Center,Tallahassee,266,"16,269","65,165","$1,995,337"
Central Florida Regional Hospital,Sanford,221,"11,676","51,163","$1,607,491"
Citrus Memorial Hospital,Inverness,204,"10,707","45,670","$1,821,012"
Cleveland Clinic in Florida - Weston,Weston,206,"11,392","51,827","$1,283,978"
Cleveland Clinic Indian River Hospital,Vero Beach,332,"13,128","52,737","$1,189,462"
Cleveland Clinic Martin Medical Center,Stuart,521,"106,929","125,109","$2,969,077"
Cleveland Clinic Martin South Hospital,Stuart,0,0,0,$0
Cleveland Clinic Tradition Hospital,Port St. Lucie,0,0,0,$0
Coral Gables Hospital,Coral Gables,245,"7,861","29,292","$1,119,179"
Delray Medical Center,Delray Beach,512,"16,226","78,272","$3,255,475"
DeSoto Memorial Hospital,Arcadia,49,"1,181","3,314","$121,351"
Doctors Hospital,Coral Gables,281,"5,634","24,705","$714,768"
Doctors Hospital of Sarasota,Sarasota,155,"7,665","29,635","$1,288,037"
Doctors' Memorial Hospital,Perry,48,711,"1,924","$55,514"
Dr. P. Phillips Hospital,Orlando,0,0,0,$0
Ed Fraser Memorial Hospital,MacClenny,89,313,925,"$70,973"
Englewood Community Hospital,Englewood,100,"3,352","10,419","$644,264"
Fawcett Memorial Hospital,Port Charlotte,237,"10,640","51,555","$2,047,779"
Flagler Hospital,Saint Augustine,335,"13,519","57,766","$1,126,173"
Florida Medical Center,Fort Lauderdale,434,"9,083","49,815","$839,316"
Florida State Hospital,Chattahoochee,58,0,"1,726","$4,381"
Fort Walton Beach Medical Center,Fort Walton Beach,267,"12,172","60,969","$3,069,238"
Good Samaritan Medical Center,West Palm Beach,333,"9,845","46,573","$2,019,326"
Gulf Breeze Hospital,Gulf Breeze,65,"3,727","13,614","$537,475"
Gulf Coast Medical Center,Fort Myers,356,"22,364","103,496","$1,969,031"
Gulf Coast Regional Medical Center,Panama City,222,"12,143","54,372","$1,968,045"
Halifax Health Medical Center of Daytona Beach,Daytona Beach,544,"20,678","109,708","$1,849,640"
Halifax Health Medical Center of Port Orange,Port Orange,0,0,0,$0
Halifax Health/UF Health Medical Center of Deltona,Deltona,0,0,0,$0
Health Central Hospital,Ocoee,211,"11,883","52,212","$1,185,843"
Health First Cape Canaveral Hospital,Cocoa Beach,150,"7,668","30,752","$671,896"
Health First Holmes Regional Medical Center,Melbourne,514,"30,103","145,675","$2,649,960"
Healthmark Regional Medical Center,Defuniak Springs,50,587,"2,398","$33,112"
HealthPark Medical Center,Fort Myers,0,0,0,$0
Hialeah Hospital,Hialeah,362,"12,735","51,546","$1,396,187"
Highlands Regional Medical Center,Sebring,110,"3,269","13,064","$416,974"
Holy Cross Hospital,Fort Lauderdale,357,"15,007","66,969","$1,623,568"
Homestead Hospital,Homestead,142,"9,170","34,865","$1,066,989"
Jackson Hospital,Marianna,66,"2,733","13,281","$155,213"
Jackson Memorial Hospital,Miami,"1,663","56,014","384,757","$5,536,420"
Jackson North Medical Center,North Miami Beach,0,0,0,$0
Jackson South Medical Center,Miami,192,"8,219","40,306","$164,920"
James A. Haley Veterans' Hospital,Tampa,0,0,0,$0
Jay Hospital,Jay,21,509,"2,254","$48,782"
JFK Medical Center - Main,Atlantis,715,"32,869","144,489","$5,765,143"
JFK Medical Center - North Campus,West Palm Beach,229,"5,660","23,739","$743,224"
Jupiter Medical Center,Jupiter,207,"12,704","46,549","$1,055,389"
Kendall Regional Medical Center,Miami,417,"21,569","109,639","$4,114,556"
Lake City Medical Center,Lake City,91,"6,083","22,216","$726,800"
Lake City VA Medical Center,Lake City,0,0,0,$0
Lakeland Regional Health Medical Center,Lakeland,864,"38,750","180,554","$4,063,723"
Lakeside Medical Center,Belle Glade,54,"1,981","8,337","$130,482"
Lakewood Ranch Medical Center,Lakewood Ranch,120,"6,417","24,280","$825,903"
Largo Medical Center,Largo,363,"12,139","64,095","$2,774,965"
Largo Medical Center - Indian Rocks Campus,Largo,177,"4,886","22,705","$199,048"
Larkin Community Hospital Palm Springs Campus,Hialeah,119,"3,979","21,726","$264,485"
Larkin Community Hospital South Miami,South Miami,121,"4,124","25,570","$412,525"
Lawnwood Regional Medical Center & Heart Institute,Fort Pierce,380,"16,421","91,467","$3,092,257"
Lee Memorial Hospital,Fort Myers,818,"39,787","183,739","$4,307,180"
Leesburg Regional Medical Center,Leesburg,329,"13,986","67,813","$846,890"
Lehigh Regional Medical Center,Lehigh Acres,78,"2,473","9,451","$291,320"
Lower Keys Medical Center,Key West,120,"2,784","10,960","$414,941"
Malcom Randall VA Medical Center,Gainesville,0,0,0,$0
Manatee Memorial Hospital,Bradenton,295,"18,448","79,866","$2,241,078"
Mayo Clinic Hospital in Florida,Jacksonville,277,"14,727","72,919","$1,773,514"
Mease Countryside Hospital,Safety Harbor,311,"15,981","76,785","$1,509,467"
Mease Dunedin Hospital,Dunedin,112,"6,705","28,977","$456,730"
Medical Center of Trinity,Trinity,307,"13,759","61,641","$2,634,521"
Melbourne Regional Medical Center,Melbourne,113,"2,776","11,053","$623,540"
Memorial Hospital,Jacksonville,418,"19,782","103,754","$3,721,938"
Memorial Hospital Miramar,Miramar,178,"8,883","37,257","$1,186,123"
Memorial Hospital of Tampa,Tampa,183,"4,039","16,067","$884,848"
Memorial Hospital Pembroke,Pembroke Pines,301,"6,501","31,335","$1,024,004"
Memorial Hospital West,Pembroke Pines,486,"19,937","108,612","$3,700,417"
Memorial Regional Hospital,Hollywood,"1,013","30,148","194,862","$6,680,129"
Memorial Regional Hospital South,Hollywood,0,0,0,$0
Mercy Hospital,Miami,343,"15,269","77,813","$1,107,218"
Miami Jewish Health Systems,Miami,454,295,"1,467","$73,858"
Miami VA Healthcare System,Miami,0,0,0,$0
Moffitt Cancer Center,Tampa,206,"9,422","60,293","$4,041,468"
Morton Plant Hospital,Clearwater,710,"24,682","124,626","$2,771,943"
Morton Plant North Bay Hospital,New Port Richey,217,"12,375","53,266","$727,146"
Mount Sinai Medical Center,Miami Beach,589,"22,517","102,736","$2,506,116"
Naval Hospital Jacksonville,Jacksonville,0,0,0,$0
Naval Hospital Pensacola,Pensacola,0,0,0,$0
NCH Baker Hospital Downtown,Naples,602,"24,467","130,500","$2,283,437"
NCH North Naples Hospital,Naples,0,0,0,$0
North Florida Regional Medical Center,Gainesville,414,"23,847","118,860","$4,696,861"
North Okaloosa Medical Center,Crestview,110,"5,130","21,143","$1,210,299"
North Shore Medical Center,Miami,748,"23,084","104,740","$3,033,231"
Northside Hospital & Tampa Bay Heart Institute,Saint Petersburg,221,"9,340","45,562","$1,775,781"
Northwest Medical Center,Margate,228,"14,230","60,740","$2,295,671"
Oak Hill Hospital,Brooksville,280,"19,220","88,074","$3,053,319"
Ocala Regional Medical Center,Ocala,360,"25,175","114,851","$3,634,202"
Orange Park Medical Center,Orange Park,317,"17,604","81,759","$3,790,797"
Orlando Regional Medical Center,Orlando,"1,593","92,416","402,267","$11,828,934"
Orlando VA Medical Center,Orlando,0,0,0,$0
Osceola Regional Medical Center,Kissimmee,404,"22,863","106,404","$3,851,794"
Oviedo Medical Center,Oviedo,64,"3,140","11,846","$466,029"
Palm Bay Hospital,Palm Bay,138,"6,968","29,202","$628,161"
Palm Beach Gardens Medical Center,Palm Beach Gardens,199,"10,297","47,526","$1,721,868"
Palmetto General Hospital,Hialeah,367,"19,282","77,738","$2,360,562"
Palms of Pasadena Hospital,Saint Petersburg,187,"5,017","26,964","$978,309"
Palms West Hospital,Loxahatchee,204,"13,440","56,335","$1,718,009"
Parrish Medical Center,Titusville,210,"6,641","28,902","$624,812"
Physicians Regional - Collier Boulevard,Naples,0,0,0,$0
Physicians Regional - Pine Ridge,Naples,201,"10,474","41,713","$2,029,704"
Plantation General Hospital,Plantation,660,"22,885","112,045","$3,645,501"
Poinciana Medical Center,Kissimmee,76,"4,207","15,817","$1,029,193"
Putnam Community Medical Center,Palatka,99,"5,469","22,853","$636,532"
Raulerson Hospital,Okeechobee,100,"4,383","17,327","$600,776"
Reception and Medical Center,Lake Butler,0,0,0,$0
Regional Medical Center Bayonet Point,Hudson,290,"16,433","74,093","$2,727,954"
Rockledge Regional Medical Center,Rockledge,298,"7,766","41,296","$1,378,174"
Saint Anthony's Hospital,Saint Petersburg,358,"20,441","87,153","$1,912,981"
Saint Cloud Regional Medical Center,Saint Cloud,84,"4,051","15,898","$474,436"
Saint Joseph's Hospital,Tampa,"1,062","51,623","272,183","$5,173,653"
Saint Joseph's Hospital - North,Lutz,0,0,0,$0
Saint Joseph's Hospital - South,Riverview,0,0,0,$0
Saint Joseph's Women's Hospital,Tampa,0,0,0,$0
Saint Lucie Medical Center,Port Saint Lucie,229,"12,279","52,133","$1,736,148"
Saint Mary's Medical Center,West Palm Beach,460,"16,283","88,365","$2,220,127"
Saint Petersburg General Hospital,Saint Petersburg,168,"5,482","24,046","$1,191,761"
Santa Rosa Medical Center,Milton,108,"4,399","15,065","$770,229"
Sarasota Memorial Hospital,Sarasota,766,"33,296","149,329","$4,211,510"
Sebastian River Medical Center,Sebastian,154,"4,738","20,752","$992,336"
Shands Lake Shore Regional Medical Center,Lake City,87,"2,311","10,381","$246,802"
South Bay Hospital,Sun City Center,138,"6,504","26,440","$814,150"
South Florida Baptist Hospital,Plant City,147,"7,317","27,339","$672,739"
South Lake Hospital,Clermont,170,"12,081","42,571","$1,374,024"
South Miami Hospital,South Miami,436,"15,532","80,997","$1,946,781"
South Seminole Hospital,Longwood,0,0,0,$0
Sylvester Comprehensive Cancer Center,Miami,0,0,0,$0
Tallahassee Memorial Healthcare,Tallahassee,475,"29,878","126,831","$2,927,304"
Tampa Community Hospital,Tampa,201,"3,184","14,911","$545,181"
Tampa General Hospital,Tampa,979,"47,752","275,019","$6,913,901"
The Villages Regional Hospital,The Villages,307,"12,745","58,992","$759,219"
Twin Cities Hospital,Niceville,65,"2,282","8,503","$646,265"
UF Health Cancer Center at Orlando Health,Orlando,0,0,0,$0
UF Health Jacksonville,Jacksonville,589,"29,255","154,674","$3,612,469"
UF Health Shands Florida,Gainesville,"1,050","47,352","271,617","$5,586,238"
UHealth Tower,Miami,524,"18,851","110,826","$7,572,475"
University Hospital and Medical Center,Tamarac,305,"7,158","29,681","$1,143,902"
Venice Regional Bayfront Health,Venice,229,"8,315","34,319","$1,387,995"
Viera Hospital,Melbourne,84,"5,044","17,510","$533,209"
Wellington Regional Medical Center,Wellington,233,"13,631","56,094","$1,401,617"
West Boca Medical Center,West Boca Raton,194,"10,905","39,408","$1,194,850"
West Florida Hospital,Pensacola,397,"19,029","84,999","$2,698,229"
West Kendall Baptist Hospital,Miami,133,"8,006","33,578","$978,917"
West Marion Community Hospital,Ocala,0,0,0,$0
West Palm Beach VA Medical Center,West Palm Beach,0,0,0,$0
Westchester General Hospital,Miami,125,"3,099","15,256","$178,828"
Westside Regional Medical Center,Plantation,224,"13,562","59,869","$2,190,095"
Winter Haven Hospital,Winter Haven,476,"19,025","87,178","$1,821,156"
Winter Haven Women's Hospital,Winter Haven,0,0,0,$0
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Emory Hillandale Hospital,Lithonia,90,"4,356","18,719","$371,076"
AdventHealth Gordon,Calhoun,69,"3,996","17,232","$681,997"
AdventHealth Murray,Chatsworth,29,536,"1,575","$108,881"
Appling Hospital,Baxley,165,566,"2,159","$57,277"
Archbold Medical Center,Thomasville,328,"9,808","54,989","$777,397"
Atlanta VA Medical Center,Decatur,0,0,0,$0
Augusta University Medical Center,Augusta,466,"21,456","119,314","$2,700,778"
Burke Medical Center,Waynesboro,40,233,810,"$38,375"
Cancer Treatment Centers of America Atlanta,Newnan,50,"1,734","8,701",$0
Candler Hospital,Savannah,246,"10,464","59,842","$1,475,447"
Cartersville Medical Center,Cartersville,119,"7,924","34,486","$1,229,701"
Charlie Norwood VA Medical Center,Augusta,0,0,0,$0
CHI Memorial Hospital Georgia,Fort Oglethorpe,36,440,"1,415","$96,950"
Coffee Regional Medical Center,Douglas,86,"4,801","17,537","$385,348"
Coliseum Medical Center,Macon,250,"10,985","55,774","$1,454,101"
Coliseum Northside Hospital,Macon,85,"3,186","10,937","$500,349"
Colquitt Regional Medical Center,Moultrie,94,"4,654","20,965","$386,632"
Crisp Regional Hospital,Cordele,208,"3,052","12,780","$274,270"
Doctors Hospital of Augusta,Augusta,288,"15,668","79,684","$3,087,673"
Dodge County Hospital,Eastman,50,"1,210","5,323","$71,631"
Donalsonville Hospital,Donalsonville,140,"1,101","3,857","$105,851"
Dorminy Medical Center,Fitzgerald,60,"1,136","3,640","$84,801"
Dublin VA Medical Center,Dublin,0,0,0,$0
East Georgia Regional Medical Center,Statesboro,142,"8,936","35,527","$1,079,787"
Eastside Medical Center,Snellville,287,"11,905","48,285","$1,486,681"
Eisenhower Army Medical Center,Fort Gordon,0,0,0,$0
Elbert Memorial Hospital,Elberton,52,457,"1,841","$32,653"
Emanuel Medical Center,Swainsboro,109,931,"2,880","$126,077"
Emory Decatur Hospital,Decatur,422,"18,512","85,458","$1,214,662"
Emory Johns Creek Hospital,Johns Creek,118,"8,560","35,625","$538,337"
Emory Saint Joseph's Hospital,Atlanta,274,"14,677","71,609","$1,262,082"
Emory University Hospital,Atlanta,622,"27,200","178,766","$2,800,445"
Emory University Hospital at Wesley Woods,Atlanta,71,2,12,"$55,353"
Emory University Hospital Midtown,Atlanta,475,"20,709","137,314","$2,569,621"
Emory University Orthopaedics & Spine Hospital,Tucker,0,0,0,$0
Evans Memorial Hospital,Claxton,59,481,"1,343","$51,812"
Fairview Park Hospital,Dublin,160,"7,425","30,394","$1,005,130"
Fannin Regional Hospital,Blue Ridge,50,"1,137","3,378","$231,697"
Flint River Community Hospital,Montezuma,46,41,195,"$20,014"
Floyd Medical Center,Rome,299,"13,772","69,725","$1,617,592"
Grady General Hospital,Cairo,46,"1,011","3,660","$77,932"
Grady Memorial Hospital,Atlanta,974,"33,496","225,285","$5,475,688"
Habersham Medical Center,Demorest,137,"1,640","6,348","$113,035"
Hamilton Medical Center,Dalton,264,"9,016","40,101","$1,026,363"
Houston Medical Center,Warner Robins,237,"13,111","64,966","$716,183"
Irwin County Hospital,Ocilla,64,"1,006","2,204","$48,046"
Jefferson Hospital,Louisville,37,385,"1,368","$25,800"
Martin Army Community Hospital,Fort Benning,0,0,0,$0
Meadows Regional Medical Center,Vidalia,52,"4,160","16,135","$471,391"
Medical Center Navicent Health,Macon,610,"30,189","176,094","$2,667,976"
Memorial Hospital and Manor,Bainbridge,187,"2,201","5,233","$124,760"
Memorial Satilla Health,Waycross,159,"7,143","25,370","$641,900"
Memorial University Medical Center,Savannah,535,"26,827","144,789","$2,436,058"
Navicent Health Baldwin,Milledgeville,113,"3,221","10,718","$144,089"
Northeast Georgia Medical Center Barrow,Winder,56,"1,242","3,863","$154,037"
Northeast Georgia Medical Center Braselton,Braselton,0,0,0,$0
Northeast Georgia Medical Center Gainesville,Gainesville,884,"37,006","177,326","$4,939,291"
Northridge Medical Center,Commerce,195,327,"1,180","$50,252"
Northside Hospital Atlanta,Atlanta,536,"35,153","209,713","$7,633,721"
Northside Hospital Cherokee,Canton,114,"8,940","48,523","$1,490,054"
Northside Hospital Duluth,Duluth,0,0,0,$0
Northside Hospital Forsyth,Cumming,299,"15,273","85,758","$2,203,713"
Northside Hospital Gwinnett,Lawrenceville,556,"31,276","142,506","$3,165,698"
Perry Hospital,Perry,39,"1,216","5,303","$98,309"
Phoebe Putney Memorial Hospital,Albany,449,"16,946","96,616","$1,662,990"
Phoebe Putney Memorial Hospital North Campus,Albany,124,"1,490","20,630","$256,946"
Phoebe Sumter Medical Center,Americus,54,"2,866","11,753","$256,852"
Piedmont Athens Regional Medical Center,Athens,357,"20,937","99,711","$1,916,771"
Piedmont Atlanta Hospital,Atlanta,512,"26,947","146,643","$4,160,045"
Piedmont Columbus Regional - Midtown Campus,Columbus,334,"15,941","84,780","$1,115,219"
Piedmont Columbus Regional - Northside,Columbus,87,"3,144","8,643","$300,198"
Piedmont Fayette Hospital,Fayetteville,290,"17,251","78,868","$1,977,081"
Piedmont Henry Hospital,Stockbridge,341,"15,434","68,661","$1,594,388"
Piedmont Mountainside Hospital,Jasper,52,"3,767","13,858","$523,495"
Piedmont Newnan Hospital,Newnan,150,"10,607","45,300","$1,300,497"
Piedmont Newton Hospital,Covington,94,"5,172","18,833","$572,120"
Piedmont Rockdale Hospital,Conyers,141,"8,820","44,691","$857,941"
Piedmont Walton,Monroe,76,"2,614","9,718","$351,753"
Redmond Regional Medical Center,Rome,228,"11,565","49,779","$1,646,848"
Saint Francis Hospital,Columbus,325,"13,518","64,904","$963,523"
Saint Joseph's Hospital,Savannah,243,"11,035","55,073","$1,153,749"
Saint Mary's Sacred Heart Hospital,Lavonia,56,"1,882","7,169","$96,697"
SGMC Berrien Campus,Nashville,63,182,796,"$19,155"
South Georgia Medical Center,Valdosta,288,"13,694","69,681","$1,072,414"
Southeast Georgia Health System - Brunswick Campus,Brunswick,300,"12,617","66,438","$734,118"
Southeast Georgia Health System - Camden Campus,Saint Marys,40,"2,563","8,062","$130,239"
Southern Regional Medical Center,Riverdale,264,"10,572","47,607","$717,743"
Southwell Medical,Adel,140,123,528,"$33,760"
St. Mary's Hospital,Athens,185,"9,713","42,962","$847,561"
Stephens County Hospital,Toccoa,74,"1,675","6,172","$105,028"
Tanner Medical Center Carrollton,Carrollton,157,"8,791","42,833","$914,075"
Tanner Medical Center Villa Rica,Villa Rica,132,"3,091","12,727","$430,482"
Taylor Regional Hospital,Hawkinsville,157,"1,065","3,478","$81,466"
Tift Regional Medical Center,Tifton,181,"9,675","44,707","$1,334,979"
Turning Point Care Center,Moultrie,59,"3,248","12,565","$93,787"
Union General Hospital,Blairsville,189,"2,423","8,187","$185,739"
University Hospital,Augusta,574,"26,244","134,032","$1,679,051"
University Hospital McDuffie,Thomson,25,540,"1,925","$77,809"
University Hospital Summerville,Augusta,156,"2,917","10,044","$329,252"
Upson Regional Medical Center,Thomaston,105,"3,234","12,862","$318,142"
Washington County Regional Medical Center,Sandersville,116,464,"1,454","$60,608"
Wayne Memorial Hospital,Jesup,88,"3,123","13,265","$231,267"
WellStar Atlanta Medical Center,Atlanta,528,"16,822","99,882","$1,961,059"
WellStar Atlanta Medical Center - South Campus,East Point,198,"4,828","25,554","$580,936"
WellStar Cobb Hospital,Austell,387,"18,504","94,690","$2,282,353"
WellStar Douglas Hospital,Douglasville,102,"6,713","26,980","$893,194"
WellStar Kennestone Hospital,Marietta,662,"40,080","195,673","$4,907,791"
WellStar North Fulton Regional Hospital,Roswell,202,"6,871","31,733","$793,954"
WellStar Paulding Hospital,Hiram,294,"8,229","28,236","$999,541"
WellStar Spalding Regional Hospital,Griffin,160,"8,337","36,482","$810,313"
WellStar West Georgia Medical Center,LaGrange,426,"7,824","32,337","$981,969"
Winn Army Community Hospital,Fort Stewart,0,0,0,$0
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Guam Memorial Hospital Authority,Oka Tamuning,201,"7,435","36,410","$149,816"
Guam Regional Medical City,Dededo,105,"5,285","31,757","$245,495"
U.S. Naval Hospital Guam,Agana Heights,0,0,0,$0
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Adventist Health Castle,Kailua,160,"7,708","32,760","$478,872"
Hilo Medical Center,Hilo,276,"7,704","43,911","$539,332"
Kaiser Permanente Moanalua Medical Center & Clinic,Honolulu,295,"11,715","69,059",$0
Kona Community Hospital,Kealakekua,94,"3,276","17,098","$209,616"
Kuakini Medical Center,Honolulu,357,"3,653","23,330","$346,189"
Maui Memorial Medical Center,Wailuku,219,"8,890","58,693","$726,399"
North Hawaii Community Hospital,Kamuela,33,"1,709","5,420","$199,563"
Pali Momi Medical Center,Aiea,118,"5,656","32,917","$751,154"
Straub Medical Center,Honolulu,159,"6,379","38,433","$1,251,708"
The Queen's Medical Center,Honolulu,650,"28,353","179,953","$3,224,693"
The Queen's Medical Center West O'Ahu,Ewa Beach,0,0,0,$0
Tripler Army Medical Center,Honolulu,0,0,0,$0
Wahiawa General Hospital,Wahiawa,150,"1,099","5,119","$99,601"
Wilcox Memorial Hospital,Lihue,72,"3,268","16,581","$361,170"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
"Genesis Medical Center, East Rusholme Street",Davenport,329,"15,494","60,753","$1,171,852"
Broadlawns Medical Center,Des Moines,117,"3,223","23,099","$306,178"
Cedar Falls Medical Center,Cedar Falls,50,708,"2,379","$130,429"
CHI Health Mercy Council Bluffs,Council Bluffs,145,"6,014","22,366","$413,518"
Fort Madison Community Hospital,Fort Madison,50,"1,048","3,698","$162,080"
"Genesis Medical Center, West Central Park",Davenport,0,0,0,$0
Great River Medical Center,West Burlington,307,"7,914","24,173","$493,696"
Iowa City VA Health Care System,Iowa City,0,0,0,$0
Iowa Lutheran Hospital,Des Moines,189,"8,036","38,352","$607,123"
Iowa Methodist Medical Center,Des Moines,484,"31,356","134,305","$2,508,402"
Lakes Regional Hospital,Spirit Lake,44,988,"3,087","$88,902"
Mary Greeley Medical Center,Ames,195,"8,130","30,583","$600,976"
Mercy Iowa City,Iowa City,218,"7,143","24,645","$505,541"
Mercy Medical Center,Cedar Rapids,243,"8,825","33,207","$1,325,715"
Mercy Medical Center - North Campus,Clinton,107,"3,515","10,009","$300,344"
MercyOne Des Moines,Des Moines,583,"32,467","152,376","$2,918,020"
MercyOne Dubuque Medical Center,Dubuque,179,"7,765","31,884","$447,879"
MercyOne North Iowa,Mason City,235,"10,900","44,005","$1,084,069"
MercyOne Siouxland Medical Center,Sioux City,197,"8,191","41,831","$578,436"
MercyOne West Des Moines Medical Center,West Des Moines,0,0,0,$0
Methodist Jennie Edmundson Hospital,Council Bluffs,110,"6,318","22,681","$336,709"
Methodist West Hospital,West Des Moines,0,0,0,$0
Ottumwa Regional Health Center,Ottumwa,120,"2,219","8,132","$308,013"
Saint Anthony Regional Hospital,Carroll,142,"1,513","6,117","$180,126"
Saint Luke's Hospital,Cedar Rapids,343,"14,615","67,109","$1,140,794"
Skiff Medical Center,Newton,48,676,"2,684","$101,867"
Spencer Hospital,Spencer,64,"1,851","6,345","$255,708"
Trinity Regional Medical Center,Fort Dodge,46,"3,300","12,403","$299,079"
UnityPoint Health - Allen Hospital,Waterloo,199,"9,149","33,116","$662,145"
UnityPoint Health - Finley Hospital,Dubuque,106,"4,141","16,165","$336,838"
UnityPoint Health - Grinnell Regional Medical Center.,Grinnell,49,"1,108","3,924","$116,576"
UnityPoint Health - Marshalltown,Marshalltown,41,"1,702","6,118","$174,692"
UnityPoint Health - Trinity Muscatine,Muscatine,45,"1,360","4,190","$136,648"
UnityPoint Health Keokuk,Keokuk,49,538,"1,614","$36,603"
UnityPoint Health St. Luke's Regional Medical Center,Sioux City,169,"8,845","37,194","$399,775"
UnityPoint Health Trinity - Bettendorf,Bettendorf,87,"4,659","14,603","$279,418"
University of Iowa Hospitals & Clinics,Iowa City,789,"32,758","215,669","$5,610,654"
VA Central Iowa Health Care System,Des Moines,0,0,0,$0
Waterloo Medical Center,Waterloo,187,"5,136","25,391","$873,569"
Hospital Name,City,"Staffed
Beds","Total
Discharges","Patient
Days","Gross Patient
Revenue ($000)"
Boise VA Medical Center,Boise,0,0,0,$0
Eastern Idaho Regional Medical Center,Idaho Falls,271,"9,133","44,200","$1,141,810"
Idaho Falls Community Hospital,Idaho Falls,0,0,0,$0
Kootenai Health,Coeur d'Alene,297,"14,592","69,155","$1,325,586"
