NAME,ADDRESS,CITY,STATE,COUNTRY,ZIP,TYPE,STATUS,POPULATION,COUNTY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,WEBSITE,OWNER,BEDS
MIZELL MEMORIAL HOSPITAL,702 MAIN STREET,OPP,AL,USA,36467,GENERAL ACUTE CARE,OPEN,99,COVINGTON,31.29195824,-86.25452692,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,http://www.mizellmh.com,NON-PROFIT,99
DALE MEDICAL CENTER,126 HOSPITAL AVENUE,OZARK,AL,USA,36360,GENERAL ACUTE CARE,OPEN,89,DALE,31.45157666,-85.63208804,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,http://www.dalemedical.org,PROPRIETARY,89
ST. VINCENT'S ST.CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,USA,35125,GENERAL ACUTE CARE,OPEN,40,ST. CLAIR,33.60511077,-86.2774691,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,http://www.stvhs.com,NON-PROFIT,40
BUCYRUS COMMUNITY HOSPITAL,629 NORTH SANDUSKY AVENUE,BUCYRUS,OH,USA,44820,CRITICAL ACCESS,OPEN,25,CRAWFORD,40.8153399,-82.97663213,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://avitahealth.org/home,NON-PROFIT,25
GALION COMMUNITY HOSPITAL,269 PORTLAND WAY SOUTH,GALION,OH,USA,44833,CRITICAL ACCESS,OPEN,50,CRAWFORD,40.73090377,-82.80225721,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.galionhospital.org,NON-PROFIT,50
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,USA,35582,CRITICAL ACCESS,OPEN,25,FRANKLIN,34.45810576,-88.14732506,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,http://redbayhospital.net/,GOVERNMENT - DISTRICT/AUTHORITY,25
HELEN KELLER MEMORIAL HOSPITAL,1301 S.MONTGOMERY AVENUE,SHEFFIELD,AL,USA,35660,GENERAL ACUTE CARE,OPEN,185,COLBERT,34.74595015,-87.70026146,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,http://www.helenkeller.com,GOVERNMENT - DISTRICT/AUTHORITY,185
COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,SYLACAUGA,AL,USA,35150,GENERAL ACUTE CARE,OPEN,163,TALLADEGA,33.16456023,-86.25548758,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,http://www.cvhealth.net,NON-PROFIT,163
CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,USA,35161,GENERAL ACUTE CARE,OPEN,122,TALLADEGA,33.44027682,-86.0907834,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,http://www.bhsala.com/home_citizens.cfm?id=38,NON-PROFIT,122
BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,USA,36089,GENERAL ACUTE CARE,OPEN,61,BULLOCK,32.14663511,-85.71700933,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,NOT AVAILABLE,PROPRIETARY,61
WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,USA,36278,GENERAL ACUTE CARE,OPEN,34,RANDOLPH,33.31140422,-85.48545247,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,http://www.wedoweehospital.org/,NON-PROFIT,34
ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,USA,36092,GENERAL ACUTE CARE,OPEN,69,ELMORE,32.55226697,-86.18639645,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dph1.adph.state.al.us/FacilitiesDirectory,http://www.elmorehospital.com/,PROPRIETARY,69
UNIVERSITY HOSPITALS OF CLEVELAND,11100 EUCLID AVENUE,CLEVELAND,OH,USA,44106,GENERAL ACUTE CARE,OPEN,1032,CUYAHOGA,41.50614205,-81.60509543,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.uhhospitals.org/cleveland,NON-PROFIT,1032
CLEVELAND CLINIC,9500 EUCLID AVENUE,CLEVELAND,OH,USA,44195,GENERAL ACUTE CARE,OPEN,1268,CUYAHOGA,41.50275096,-81.62079267,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.clevelandclinic.org,NON-PROFIT,1268
UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,3999 RICHMOND ROAD,BEACHWOOD,OH,USA,44122,GENERAL ACUTE CARE,OPEN,144,CUYAHOGA,41.45219887,-81.49469357,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.uhhospitals.org/ahuja/,NON-PROFIT,144
PARMA COMMUNITY GENERAL HOSPITAL,7007 POWERS BOULEVARD,PARMA,OH,USA,44129,GENERAL ACUTE CARE,OPEN,348,CUYAHOGA,41.38211984,-81.73139468,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,www.parmahospital.org,NON-PROFIT,348
WAYNE HOSPITAL,835 SWEITZER STREET,GREENVILLE,OH,USA,45331,GENERAL ACUTE CARE,OPEN,104,DARKE,40.08929177,-84.6347411,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.waynehealthcare.org,NON-PROFIT,104
WILLIAMSPORT REGIONAL MEDICAL CENTER,700 HIGH STREET,WILLIAMSPORT,PA,USA,17701,GENERAL ACUTE CARE,OPEN,228,LYCOMING,41.24701063,-77.01596697,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/normalSearch.asp,http://www.susquehannahealth.org/,NON-PROFIT,228
GRADY MEMORIAL HOSPITAL,561 WEST CENTRAL AVENUE,DELAWARE,OH,USA,43015,GENERAL ACUTE CARE,OPEN,152,DELAWARE,40.30551402,-83.08925286,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,https://www.ohiohealth.com/grady,NON-PROFIT,152
ASPEN MOUNTAIN MEDICAL CENTER,4401 COLLEGE DR,ROCK SPRINGS,WY,USA,82901,GENERAL ACUTE CARE,OPEN,16,SWEETWATER,41.60276094,-109.246393,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://health.wyo.gov/aging/hls/healthcare-facility-directory/,http://aspenmountainmc.com/,PROPRIETARY,16
HOSP UNIVERSITARIO DR RAMON RUIZ ARNAU,AVE LAUREL - URB SANTA JUANITA,BAYAMON,PR,PRI,956,GENERAL ACUTE CARE,OPEN,102,BAYAMON,18.3675704,-66.15412449,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.salud.gov.pr/Servicios-al-Ciudadano/Pages/Directorio-de-Hospitales-Publicos-y-Privados.aspx,NOT AVAILABLE,GOVERNMENT - STATE,102
FIRST HOSP PANAMERICANO - CIDRA,PR-787 KM 1.5,CIDRA,PR,PRI,739,GENERAL ACUTE CARE,OPEN,-999,CIDRA,18.17603896,-66.16140123,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.salud.gov.pr/Servicios-al-Ciudadano/Pages/Directorio-de-Hospitales-Publicos-y-Privados.aspx,http://www.hospitalpanamericano.com/,NOT AVAILABLE,-999
ATLANTICARE REGIONAL MEDICAL CENTER - MAINLAND DIVISION,65 WEST JIMMIE LEEDS ROAD,POMONA,NJ,USA,8240,GENERAL ACUTE CARE,OPEN,349,ATLANTIC,39.47898262,-74.54007297,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.atlanticare.org/index.php/hospitals/armc-mainland-campus,NON-PROFIT,349
WILLIAM B KESSLER MEMORIAL HOSPITAL,600 SOUTH WHITE HORSE PIKE,HAMMONTON,NJ,USA,8037,GENERAL ACUTE CARE,CLOSED,130,ATLANTIC,39.63223626,-74.77258356,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://njgin.state.nj.us/oit/gis/download/hsip_hospitals.zip,NOT AVAILABLE,NON-PROFIT,130
BERGEN REGIONAL MEDICAL CENTER,230 EAST RIDGEWOOD AVENUE,PARAMUS,NJ,USA,7652,GENERAL ACUTE CARE,OPEN,510,BERGEN,40.95666778,-74.06299172,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.bergenregional.com,GOVERNMENT - LOCAL,510
HOLY NAME HOSPITAL,718 TEANECK ROAD,TEANECK,NJ,USA,7666,GENERAL ACUTE CARE,OPEN,372,BERGEN,40.88299153,-74.01040033,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.holyname.org,NON-PROFIT,372
SAINT JOSEPHS WAYNE HOSPITAL,224 HAMBURG TURNPIKE,WAYNE,NJ,USA,7470,GENERAL ACUTE CARE,OPEN,229,PASSAIC,40.94712356,-74.20271983,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.stjosephshealth.org/st-josephs-wayne-hospital,NON-PROFIT,229
CLARA MAASS MEDICAL CENTER,1 CLARA MAASS DRIVE,BELLEVILLE,NJ,USA,7109,GENERAL ACUTE CARE,OPEN,469,ESSEX,40.78567135,-74.17632111,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.barnabashealth.org/hospitals/clara_maass/index.html,NON-PROFIT,469
EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVENUE,EAST ORANGE,NJ,USA,7018,GENERAL ACUTE CARE,OPEN,212,ESSEX,40.75460356,-74.2136014,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.evh.org,PROPRIETARY,212
INSPIRA MEDICAL CENTER VINELAND,1505 WEST SHERMAN AVENUE,VINELAND,NJ,USA,8360,GENERAL ACUTE CARE,OPEN,335,CUMBERLAND,39.44547572,-75.05896898,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.inspirahealthnetwork.org/?id=5280&sid=1,NON-PROFIT,335
HUDSON REGIONAL HOSPITAL,55 MEADOWLANDS PARKWAY,SECAUCUS,NJ,USA,7094,GENERAL ACUTE CARE,OPEN,234,HUDSON,40.79183031,-74.07323651,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.meadowlandshospital.org,PROPRIETARY,234
TRINITAS HOSPITAL - NEW POINT CAMPUS,655 EAST JERSEY STREET,ELIZABETH,NJ,USA,7206,GENERAL ACUTE CARE,OPEN,60,UNION,40.65910896,-74.197588,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.trinitashospital.com,NON-PROFIT,60
SAINT CLARES HOSPITAL - SUSSEX CAMPUS,20 WALNUT STREET,SUSSEX,NJ,USA,7461,GENERAL ACUTE CARE,CLOSED,-999,SUSSEX,41.20702419,-74.6034979,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://njgin.state.nj.us/oit/gis/download/hsip_hospitals.zip,http://www.saintclares.org/saint-clare-s-health-center-sussex-new-jersey/,NON-PROFIT,-999
NEWTON MEMORIAL HOSPITAL,175 HIGH STREET,NEWTON,NJ,USA,7860,GENERAL ACUTE CARE,OPEN,146,SUSSEX,41.05764815,-74.76844283,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.nmhnj.org/,NON-PROFIT,146
SAINT FRANCIS MEDICAL CENTER,601 HAMILTON AVENUE,TRENTON,NJ,USA,8629,GENERAL ACUTE CARE,OPEN,238,MERCER,40.21652218,-74.74165161,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.stfrancismedical.com,NON-PROFIT,238
OCEAN MEDICAL CENTER,425 JACK MARTIN BOULEVARD,BRICK,NJ,USA,8724,GENERAL ACUTE CARE,OPEN,281,OCEAN,40.07718301,-74.13144684,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.oceanmedicalcenter.com/OMC/,NON-PROFIT,281
CAREPOINT HEALTH - BAYONNE MEDICAL CENTER,29 EAST 29TH ST,BAYONNE,NJ,USA,7002,GENERAL ACUTE CARE,OPEN,261,HUDSON,40.66830369,-74.11271394,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,https://www.carepointhealth.org/bayonne-medical-center,PROPRIETARY,261
CAREPOINT HEALTH-CHRIST HOSPITAL,176 PALISADE AVE,JERSEY CITY,NJ,USA,7306,GENERAL ACUTE CARE,OPEN,358,HUDSON,40.73426762,-74.04995827,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,https://www.carepointhealth.org/christ-hospital,PROPRIETARY,358
HACKENSACK-UMC AT PASCACK VALLEY,250 OLD HOOK ROAD,WESTWOOD,NJ,USA,7675,GENERAL ACUTE CARE,OPEN,128,BERGEN,40.98561644,-74.01568138,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.state.nj.us/health/healthfacilities/findhospital.shtml,http://www.hackensackumcpv.com/,PROPRIETARY,128
SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER,1341 NORTH CLARK STREET,CAMBRIDGE,OH,USA,43725,GENERAL ACUTE CARE,OPEN,189,GUERNSEY,40.04147319,-81.57739234,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.seormc.org,NON-PROFIT,189
CLINICA SANTA ROSA,VETERANS AVENUE,GUAYAMA,PR,PRI,785,GENERAL ACUTE CARE,OPEN,86,GUAYAMA,17.98077092,-66.10616612,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.salud.gov.pr/Servicios-al-Ciudadano/Pages/Directorio-de-Hospitales-Publicos-y-Privados.aspx,NOT AVAILABLE,NON-PROFIT,86
"JEWISH HOSPITAL, LLC",4777 EAST GALBRAITH ROAD,CINCINNATI,OH,USA,45236,GENERAL ACUTE CARE,OPEN,209,HAMILTON,39.20595098,-84.38094165,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://e-mercy.com/jewish-hospital.aspx,NON-PROFIT,209
TMC HEALTHCARE,5301 EAST GRANT ROAD,TUCSON,AZ,USA,85712,GENERAL ACUTE CARE,OPEN,541,PIMA,32.25230425,-110.8792988,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.azdhs.gov/als/databases/,www.tmcaz.com,NON-PROFIT,541
BAY PARK COMMUNITY HOSPITAL,2801 BAY PARK DRIVE,OREGON,OH,USA,43616,GENERAL ACUTE CARE,OPEN,91,LUCAS,41.62120199,-83.48049106,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.promedica.org,NON-PROFIT,91
FLOWER HOSPITAL,5200 HARROUN ROAD,SYLVANIA,OH,USA,43560,GENERAL ACUTE CARE,OPEN,559,LUCAS,41.70894065,-83.69134627,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.promedica.org,NON-PROFIT,559
MERCY ST ANNE HOSPITAL,3404 SYLVANIA AVENUE,TOLEDO,OH,USA,43623,GENERAL ACUTE CARE,OPEN,128,LUCAS,41.6935993,-83.62568153,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.mercyweb.org,NON-PROFIT,128
CHRISTUS ST. VINCENT PHYSICIANS MEDICAL CENTER,2990 RODEO PARK DRIVE EAST,SANTA FE,NM,USA,87505,GENERAL ACUTE CARE,OPEN,19,SANTA FE,35.63346536,-105.9632958,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,http://www.stvin.org/christus-st-vincent-physicians-medical-center,NON-PROFIT,19
HOLY CROSS HOSPITAL,1399 WEIMER ROAD,TAOS,NM,USA,87571,GENERAL ACUTE CARE,OPEN,29,TAOS,36.36854366,-105.5768881,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,http://www.taoshospital.org,NON-PROFIT,29
GALLUP INDIAN MEDICAL CENTER,516 NIZHONI BOULEVARD,GALLUP,NM,USA,87301,GENERAL ACUTE CARE,OPEN,99,MCKINLEY,35.50764586,-108.7298805,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,https://www.ihs.gov/navajo/healthcarefacilitiegallup/s/,GOVERNMENT - FEDERAL,99
DOCTOR DAN C TRIGG MEMORIAL HOSPITAL,301 EAST MIEL DE LUNA AVENUE,TUCUMCARI,NM,USA,88401,GENERAL ACUTE CARE,OPEN,25,QUAY,35.15663244,-103.7225745,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,https://danctrigg-memorial-hospital.phs.org/Pages/default.aspx,NON-PROFIT,25
GILBERT HOSPITAL,5656 SOUTH POWER ROAD,GILBERT,AZ,USA,85295,GENERAL ACUTE CARE,OPEN,19,MARICOPA,33.31390869,-111.6874273,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.azdhs.gov/als/databases/,http://www.gilberter.com,PROPRIETARY,19
MINERS COLFAX MEDICAL CENTER,203 HOSPITAL DRIVE,RATON,NM,USA,87740,CRITICAL ACCESS,OPEN,25,COLFAX,36.86265899,-104.4421102,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://providersearch.health.state.nm.us/,http://www.minershosp.com,GOVERNMENT - STATE,25
GARFIELD MEMORIAL HOSPITAL,200 NORTH 400 EAST,PANGUITCH,UT,USA,84759,GENERAL ACUTE CARE,OPEN,41,GARFIELD,37.82642874,-112.4269223,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.ihc.com/hospitals/garfield,NON-PROFIT,41
RIVERVIEW HEALTH INSTITUTE,ONE ELIZABETH PLACE,DAYTON,OH,USA,45417,GENERAL ACUTE CARE,OPEN,12,MONTGOMERY,39.74824808,-84.19940099,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.riverviewhealthinstitute.com/,PROPRIETARY,12
PARKVIEW LAGRANGE HOSPITAL,207 N TOWNLINE RD,LAGRANGE,IN,USA,46761,CRITICAL ACCESS,OPEN,25,LAGRANGE,41.64580409,-85.42613706,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.parkview.com,NON-PROFIT,25
SYCAMORE MEDICAL CENTER,4000 MIAMISBURG-CENTERVILLE ROAD,MIAMISBURG,OH,USA,45342,GENERAL ACUTE CARE,OPEN,108,MONTGOMERY,39.63770293,-84.24927249,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.ketteringhealth.org/sycamore/,NON-PROFIT,108
GOOD SAMARITAN HOSPITAL,2222 PHILADELPHIA DRIVE,DAYTON,OH,USA,45406,GENERAL ACUTE CARE,OPEN,491,MONTGOMERY,39.78755134,-84.23333439,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.goodsamdayton.com,NON-PROFIT,491
MORROW COUNTY HOSPITAL,651 WEST MARION ROAD,MOUNT GILEAD,OH,USA,43338,CRITICAL ACCESS,OPEN,22,MORROW,40.54798117,-82.8504066,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.morrowcountyhospital.com,GOVERNMENT - LOCAL,22
OHIOHEALTH SHELBY HOSPITAL,199 WEST MAIN STREET,SHELBY,OH,USA,44875,CRITICAL ACCESS,OPEN,40,RICHLAND,40.88240673,-82.67417508,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,https://www.ohiohealth.com/shelby/,NON-PROFIT,40
ADENA REGIONAL MEDICAL CENTER,272 HOSPITAL ROAD,CHILLICOTHE,OH,USA,45601,GENERAL ACUTE CARE,OPEN,261,ROSS,39.39649777,-82.96761611,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.adena.org,NON-PROFIT,261
BANNER HEART HOSPITAL,6750 E. BAYWOOD AVE.,MESA,AZ,USA,85206,GENERAL ACUTE CARE,OPEN,111,MARICOPA,33.41169207,-111.6864923,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.azdhs.gov/als/databases/,http://www.bannerhealth.com/Locations/Arizona/Banner+Behavioral +Health,NON-PROFIT,111
JACKSON HOSPITAL,4250 HOSPITAL DR,MARIANNA,FL,USA,32446,GENERAL ACUTE CARE,OPEN,62,JACKSON,30.78684441,-85.24131483,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.jacksonhosp.com,GOVERNMENT - DISTRICT/AUTHORITY,62
DUPONT HOSPITAL LLC,2520 E DUPONT RD,FORT WAYNE,IN,USA,46825,GENERAL ACUTE CARE,OPEN,131,ALLEN,41.17526916,-85.10893062,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.thedupontdifference.com,PROPRIETARY,131
ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,11130 PARKVIEW CIRCLE DR,FORT WAYNE,IN,USA,46845,GENERAL ACUTE CARE,OPEN,37,ALLEN,41.18957758,-85.10066957,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,www.parkview.com,PROPRIETARY,37
SILVER SPRINGS RURAL HEALTH CENTERS,3595 HWY 50 WEST,SILVER SPRINGS,NV,USA,89429,GENERAL ACUTE CARE,CLOSED,-999,LYON,39.39553958,-119.2792791,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dpbh.nv.gov/,NOT AVAILABLE,NOT AVAILABLE,-999
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,9300 WEST SUNSET ROAD,LAS VEGAS,NV,USA,89148,GENERAL ACUTE CARE,OPEN,139,CLARK,36.07265624,-115.2952392,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,southernhillshospital.com,PROPRIETARY,139
MARGARET MARY HEALTH,321 MITCHELL AVE,BATESVILLE,IN,USA,47006,CRITICAL ACCESS,OPEN,25,RIPLEY,39.3050249,-85.22252619,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.mmch.org,NON-PROFIT,25
DAVIESS COMMUNITY HOSPITAL,1314 E WALNUT ST,WASHINGTON,IN,USA,47501,GENERAL ACUTE CARE,OPEN,80,DAVIESS,38.65961384,-87.1597524,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.dchosp.org,GOVERNMENT - LOCAL,80
PARKVIEW NOBLE HOSPITAL,401 SAWYER RD,KENDALLVILLE,IN,USA,46755,GENERAL ACUTE CARE,OPEN,31,NOBLE,41.44834035,-85.29615831,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.parkview.com,NON-PROFIT,31
MERCY TIFFIN HOSPITAL,45 ST LAWRENCE DRIVE,TIFFIN,OH,USA,44883,GENERAL ACUTE CARE,OPEN,120,SENECA,41.10376702,-83.21626281,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.mercyweb.org/mercy_tiffin.aspx,NON-PROFIT,120
DEACONESS HOSPITAL INC,600 MARY ST,EVANSVILLE,IN,USA,47747,GENERAL ACUTE CARE,OPEN,509,VANDERBURGH,37.98373954,-87.57110678,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.deaconess.com,NON-PROFIT,509
PIONEER VALLEY HOSPITAL,3460 SOUTH PIONEER PARKWAY,WEST VALLEY CITY,UT,USA,84120,GENERAL ACUTE CARE,OPEN,101,SALT LAKE,40.69787279,-111.9908804,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.pioneervalleyhospital.com,PROPRIETARY,101
MILFORD VALLEY MEMORIAL HOSPITAL,850 NORTH MAIN STREET,MILFORD,UT,USA,84751,CRITICAL ACCESS,OPEN,23,BEAVER,38.40180906,-113.0106583,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://beaver.utah.gov/index.aspx?NID=98,GOVERNMENT - DISTRICT/AUTHORITY,23
SOUTH JORDAN HEALTH CENTER,5126 WEST DAYBREAK PARKWAY,SOUTH JORDAN,UT,USA,84095,CRITICAL ACCESS,OPEN,-999,SALT LAKE,40.54174387,-112.0133527,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,NOT AVAILABLE,NOT AVAILABLE,-999
MOUNTAIN POINT MEDICAL CENTER,3000 NORTH TRIUMPH BLVD,LEHI,UT,USA,84043,GENERAL ACUTE CARE,OPEN,-999,UTAH,40.42534,-111.8785401,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.mountainpointmedicalcenter.com/,PROPRIETARY,-999
MOAB REGIONAL HOSPITAL,450 WEST WILLIAMS WAY,MOAB,UT,USA,84532,CRITICAL ACCESS,OPEN,19,GRAND,38.57873515,-109.5636131,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.amhmoab.org,NON-PROFIT,19
